id,ingredient,quantity,unit
475734,新鮮香菇,10.0,朵
475734,小磨坊蒜香九層塔,適量,
475734,鹽巴,1.0,小匙
475734,雞蛋,1.0,顆
475734,白胡椒粉,1.0,小匙
475734,樹薯粉,1.0,大匙
475734,炸油,1.0,杯
470474,排骨,200.0,克
470474,九層塔骨,1.0,小把
470474,荸薺,6.0,顆
470474,黑蠔菇,1.0,盒
470474,枸杞,1.0,小把
470474,九層塔,少許,
470474,鹽巴,適量,
470474,白胡椒粉,少許,
467048,九層塔,1.0,把
467048,蒜頭,6.0,瓣
467048,橄欖油,25.0,毫升
467048,安食小品醬鹽,1.0,小匙
467048,細砂糖,1.0,小匙
467048,米酒,1.0,大匙
467048,安食小品黑豆醬油,1.0,小匙
467048,麵條,1.0,把
466528,九層塔,1.0,把
466528,蒜頭,6.0,瓣
466528,橄欖油,25.0,毫升
466528,安食小品醬鹽,1.0,小匙
466528,細砂糖,1.0,小匙
466528,米酒,1.0,大匙
466528,安食小品黑豆醬油,1.0,小匙
466528,板豆腐,1.0,塊
462631,豬絞肉,300.0,克
462631,義大利ORO去皮切丁罐頭,100.0,克
462631,蒜末,15.0,克
462631,長辣椒,1.0,支
462631,朝天椒,1.0,根
462631,九層塔,30.0,克
462631,橄欖油,15.0,克
462631,醬油,10.0,克
462631,韓國魚露,18.0,克
462631,新鮮檸檬汁,25.0,克
462631,二砂糖,20.0,克
462631,米酒頭,20.0,克
466042,吐司,2.0,片
466042,起司,1.0,片
466042,蛋,1.0,顆
466042,九層塔,2.0,株
466042,黑胡椒粒,0.1,茶匙
466042,奇異果,1.0,顆
466042,砂糖橘,1.0,顆
466042,熟毛豆莢,0.5,碗
456490,九層塔葉,適量,
456490,雞蛋,4.0,顆
456490,鹽巴,少許,
456490,胡椒粉,少許,
462579,板豆腐,1.0,盒
462579,起司片,1.0,片
462579,九層塔,8.0,片
462579,醬油膏,1.0,大匙
462579,糖,1.0,小匙
461098,湯種麵糊約80克,80.0,克
461098,水,75.0,克
461098,高粉,15.0,克
461098,高粉,425.0,克
461098,低粉,75.0,克
461098,鹽,10.0,克
461098,糖,45.0,克
461098,速酵,6.0,克
461098,湯種全下,,
461098,九層塔,20.0,克
461098,冰水,200.0,克
461098,優格,100.0,克
461098,香蒜醬個人喜好,,
456597,蘑菇,0.5,盒
456597,有機白舞菇,0.5,顆
456597,九層塔,1.0,大把
456597,薑,10.0,克
456597,麻油,1.0,大匙
456597,羅漢果糖,1.0,大匙
456597,黑豆桑醬油,1.0,大匙
466635,牛肉絲,1.0,份
466635,紅辣椒,1.0,條
466635,九層塔,1.0,包
466635,水,2.0,大匙
466635,油,少許,
466635,鹽,少許,
466635,糖,少許,
459428,九層塔,200.0,克
459428,帕馬森起司粉,65.0,克
459428,松子,50.0,克
459428,蒜頭,65.0,克
459428,鹽巴,適量,
459428,黑胡椒,適量,
459428,橄欖油,250.0,毫升
459428,鯷魚,24.0,克
468950,雞蛋,5.0,顆
468950,九層塔,1,把
468950,韭菜,2.0,支
468950,鹽巴,適量,
468950,鰹魚粉,適量,
468950,二砂,適量,
453947,蛤蜊,25.0,顆
453947,薑,5.0,片
453947,紅辣椒,2.0,支
453947,蒜頭,3.0,瓣
453947,九層塔,1.0,小把
453947,麻油,20.0,克
453947,醬油,20.0,克
453947,砂糖,1.0,小匙
453947,米酒,20.0,克
452953,雞蛋,1.0,顆
452953,義美蛋餅皮,1.0,片
452953,九層塔葉,適量,
452953,胡椒鹽,適量,
467438,水手牌法國麵包粉,150.0,g
467438,酵母,1.5,g
467438,糖,15.0,g
467438,鹽,3.0,g
467438,番茄羅勒醬,30.0,g
467438,乳酪,30.0,g
467438,水,98.0,g
467438,葵花油,15.0,ｇ
379428,蛤蜊,600.0,g
379428,九層塔,15.0,片
379428,姜絲,20.0,條
379428,油,1,大匙
379428,高湯,3.0,大匙
379428,鹽,少許,
379428,米酒,1.0,小匙
448142,蛋,2.0,顆
448142,九層塔,適量,
448142,鹽,1.0,小匙
448142,醬油,1.0,小匙
450744,麵腸,2.0,條
450744,九層塔,1.0,小把
450744,薑絲蒜末,適量,
450744,米酒,少許,
449881,白飯或隔夜飯,2.0,碗
449881,九層塔,2.0,把
449881,雞蛋,4.0,顆
449881,油,1.0,大匙
449881,醬油,1.0,大匙
449881,鹽巴,0.5,小匙
465464,蛤蠣,2.0,斤
465464,九層塔,1.0,把
465464,蒜頭,5.0,顆
465464,薑片,5.0,片
465464,蔥,2.0,支
465464,黑麻油,3.0,大匙
465464,醬油膏,3.0,大匙
465464,米酒,3.0,大匙
465464,烏醋,1.0,大匙
464974,蚵仔,2.0,斤
464974,地瓜粉,200.0,g
464974,九層塔,1.0,把
464974,胡椒粉,適量,
453640,櫛瓜,1.0,條
453640,蝦花蝦,10.0,克
453640,吻仔魚,10.0,克
453640,胡蘿蔔絲,少許,
453640,九層塔,1.0,把
453640,蛋,1.0,顆
464260,九層塔,100.0,公克
464260,核桃,100.0,公克
464260,橄欖油,100.0,公克
464260,黑胡椒,2.0,公克
464260,鹽,5.0,公克
464260,味精,2.5,公克
452414,雞胸肉,100.0,克
452414,九層塔葉,5.0,克
452414,華盛頓翠玉蘋果,1.0,顆
452414,醬油,20.0,克
452414,糖,20.0,克
452414,胡椒粉,5.0,克
452414,洋蔥,10.0,克
452414,胡蘿蔔,0.5,條
452414,蓮藕粉,2.0,克
454884,蒜頭,100.0,克
454884,蔥,1~2,根
454884,九層塔約,35.0,克
454884,無鹽奶油,250.0,克
454884,海鹽,1.0,小匙
454884,義式香料,1.0,大匙
454884,細砂糖,0.5,大匙
454884,起司粉,0.5,大匙
454884,Kolin 歌林多功能食物調理,1.0,台
460562,茄子,2.0,條
460562,蒜末,2.0,大匙
460562,薑泥,少許,
460562,辣椒末,1.0,條
460562,九層塔切絲,1.0,大匙
460562,羅漢果糖,1.0,大匙
460562,香油,1.0,小匙
460562,米醋,2.0,小匙
460562,醬油,3.0,大匙
445241,蚵仔,200.0,克
445241,蔥花,20.0,克
445241,薑絲,10.0,克
445241,豆腐,150.0,克
445241,米酒,2.0,大匙
445241,白醋,2.0,大匙
445241,香油,2.0,小匙
445241,九層塔,1.0,小把
449539,吳郭魚,2.0,尾
449539,九層塔,1.0,把
449539,蒜頭,6.0,瓣
449539,蔥段,2.0,根
449539,辣椒,1.0,根
449539,豆瓣醬,1.0,小匙
449539,醬油,1.0,匙
449539,黑醋,1.0,大匙
449539,香油,1.0,小匙
478783,冬瓜5至,6.0,公分厚一片
478783,香菇,4.0,朵
478783,蝦米或蝦皮,2.0,大匙
478783,蔥或香菜,適量,
478783,紅辣椒,1.0,條
478783,薑片,4.0,片
478783,淡味醬油,1.0,大匙
478783,香菇素蠔油,1.0,大匙
478783,胡椒粉,少許,
476317,仙草,2.0,盒
476317,冬瓜磚,1.0,份
478999,冬瓜,1.0,人份
478999,薑,適量,
478999,醬油,1.5,大匙
478999,鹽,適量,
478999,糖,適量,
478999,水,,
478999,九層塔,適量,
478582,水,200.0,毫升
478582,水,600.0,毫升
478582,薑絲,少許,
478582,冬瓜市售,1.0,塊
478582,蛤蠣市售,1.0,盒
478582,排骨市售,1.0,盒
467984,香菇,2.0,朵
467984,冬瓜,600.0,克
467984,金針,10.0,克
467984,蠔油,1.0,大匙
467984,雞粉,1.0,小匙
466517,冬瓜,300.0,克
466517,肝連肉,200.0,克
466517,米酒,1.0,小匙
466517,雞粉,1.0,小匙
466517,鹽,1.0,小匙
187769,冬瓜,500.0,g
187769,油豆腐,100.0,g
187769,攪肉,150.0,g
187769,冬菇,6.0,隻
187769,鹽,0.5,茶些
187769,蠔油,1,湯匙
187769,生粉,少許,
187769,水,200.0,ml
471099,蝦米,適量,
471099,冬瓜,適量,
471099,五花肉火鍋肉片,適量,
471099,好勁道寬麵,適量,
471099,雞蛋,1.0,粒
471099,鹽,少量,
471099,味精,少量,
471099,香油,適量,
472801,新鮮冬瓜,1.0,節
472801,黑糖粉,80.0,克
472801,砂糖,200.0,克
471942,排骨酥,150.0,克
471942,冬瓜一片,300.0,克
471942,薑絲,2.0,片
471942,清水,800.0,毫升
471942,醬油,1.0,小匙
471942,鮮味炒手,0.5,小匙
471942,糖,0.25,小匙
471942,鹽,0.25,小匙
477202,冬瓜,1.0,塊
477202,白醋,1.0,大匙
477202,蜂蜜,1.0,大匙
477202,奇亞籽,1.0,小匙
467657,冬瓜,1.0,塊
467657,絞肉,1.0,糰
467657,薑,3.0,片
467657,蔥,1.0,根
467657,鹽,1.0,小匙
467657,醬油,1.0,小匙
467657,米酒兩,3,滴
470966,冬瓜磚,1.0,小塊
470966,統一鮮奶,1.0,瓶
470966,咖啡,適量,
463444,土雞腿,700.0,克
463444,冬瓜,600.0,克
463444,薑,1.0,大匙
463444,鹽,1.0,大匙
463444,水,1200.0,毫升
468453,冬瓜,300.0,克
468453,雞腿肉切丁,250.0,克
468453,鴻禧菇,100.0,克
468453,蔥花,1.0,把
468453,醬油,2.0,大匙
468453,米酒,2.0,大匙
468453,砂糖,1.0,茶匙
468453,胡椒粉,1.0,小匙
461452,冬瓜,300.0,克
461452,絞肉,100.0,克
461452,辣腐乳,2.0,塊
461452,腐乳汁,2.0,大匙
461452,蒜末,20.0,克
461452,蔥花,20.0,克
461452,米酒,2.0,大匙
461452,水,1.0,碗
464635,冬瓜,600.0,g
464635,老薑,5.0,片
464635,蝦皮,2.0,大匙
464635,枸杞,1.0,茶匙
464635,熱水,1.0,公升
464635,魚露,2.0,茶匙
464635,米酒,2.0,茶匙
464635,鹽,0.25,茶匙
464635,雞粉,0.25,茶匙
464635,白胡椒粉,0.25,茶匙
464635,植物油,1.0,大匙
463523,冬瓜,800.0,克
463523,薏仁,25.0,克
463523,梅花豬肉塊,150.0,克
463523,薑,2.0,片
464677,冬瓜,300.0,克
464677,菜脯,50.0,克
464677,蝦米,10.0,克
464677,薑絲,20.0,克
464677,醬油,1.0,大匙
464677,米酒,2.0,大匙
464677,砂糖,1.0,大匙
459512,冬瓜,1,塊
459512,雞胸肉,2.0,片
459512,蝦仁,12.0,隻
459512,醬油,1.5,匙
459512,胡椒鹽,1.0,大匙
459512,薑泥,1.0,匙
459512,香油,少許,
463145,冬瓜,300.0,克
463145,乾香菇,6.0,朵
463145,豆豉,1.0,大匙
463145,醬油,2.0,大匙
463145,砂糖,1.0,大匙
463145,水,1.0,碗
461790,去骨雞腿肉,1.0,隻
461790,香菇,5.0,朵
461790,冬瓜,300.0,克
461790,剝皮辣椒,0.5,瓶
461790,鹽巴,1.5,匙
462080,冬瓜,240.0,g
462080,蘋果,0.5,顆
462080,糯米粉,60.0,g
462080,水,60.0,g
462080,蜂蜜或黑糖,適量,
458513,薑絲,10.0,克
458513,冬瓜,1.0,片
458513,排骨,50.0,元
458513,鹽巴,1.5,匙
458877,松阪豬,1.0,碗
458877,蔥段,1.0,根
458877,薑絲,3.0,片
458877,冬瓜,1.0,片
458877,蠔油,2.0,大匙
458877,鹽,適量,
458877,糖,適量,
458877,白胡椒粉,適量,
458877,米酒,1.0,茶匙
458877,橄欖油,1.0,小匙
458877,水,0.5,杯
463697,豬後腿心肉,1.0,塊
463697,冬瓜,1.0,輪
463697,薑片,2～3,片
463697,醬油,60.0,毫升
463697,冰糖,1.0,大匙
463697,水,400.0,毫升
463697,滷包,1.0,包
461876,排骨,適量,
461876,冬瓜,1~2,片
461876,薑,3~5,片
461876,蔥,1.0,根
461876,薏仁,適量,
461876,蓮子,適量,
461876,米酒,少量,
460460,蝦,150.0,克
460460,絞肉,150.0,克
460460,薑末,2.0,大匙
460460,蔥,2.0,支
460460,冬瓜湯,1.0,小鍋
460460,蛋,1.0,個
460460,玉米粉,2.0,匙
468160,冬瓜,400.0,克
468160,新鮮黑木耳,0.5,盒
468160,雞蛋,2.0,粒
468160,蕃茄,3.0,顆
468160,食用鹽,1.0,小匙
479557,貝貝南瓜,1.0,顆
479557,牛奶,50.0,毫升
479557,糖,5.0,克
479557,蛋,1.0,顆
478985,貝貝南瓜,1.0,顆
478985,鮮菇,8~9,朵
478985,蒜瓣,3.0,瓣
478985,蔥白,1.0,根
478985,手工麵麵,1.0,軸
478985,白胡椒粉,0.25,小匙
478985,油,2.0,小匙
478143,南瓜,0.5,顆
478143,雞蛋,3.0,顆
478143,玉米筍,3.0,根
478143,玉米粒,適量,
478143,蘋果,1.0,顆
478143,紅蘿蔔,1.0,條
478036,小米,1.0,米杯
478036,栗子南瓜約300g,1.0,顆
478036,薑末,少許,
478036,紅棗,6.0,顆
478036,苟杞,少許,
478970,中型南瓜,1.0,個
478970,洋蔥,1.0,顆
478970,牛奶,250.0,克
478970,義大利香料,1.0,大匙
478970,胡椒粉,1.0,小匙
478970,鹽巴,1.0,小匙
478300,南瓜半個,1.0,台斤
476135,蒸熟的南瓜,160.0,克
476135,中筋麵粉,340.0,克
476135,糖,10.0,克
476135,速發酵母粉,4.0,克
476135,鮮奶,120.0,毫升
476919,貝貝南瓜,3.0,顆
476919,海鹽,1.0,小匙
476919,黑胡椒,1.0,小匙
476919,義大利香料,1.0,小匙
476919,紅椒粉,0.5,小匙
476919,食用油,適量,
475826,南瓜,適量,
475826,豬肉片,100.0,g
475826,味噌,1,大匙
475826,米酒一,小匙,
475826,鹽,1,小搓
475826,味醂一,小匙,
475826,水,1,大匙
471965,南瓜,0.5,顆
471965,雞胸肉,1.0,包
471965,雞粉,1.0,小匙
471965,鹽,1.0,小匙
471965,米酒,1.0,小匙
471965,香油,1.0,小匙
471965,鹽,1.0,小匙
471965,太白粉,1.0,小匙
472830,帶皮貝貝南瓜,490.0,克
472830,地瓜粉,適量,
472830,鹹蛋黃,3.0,顆
472830,米酒,適量,
472830,蒜頭切末,2.0,瓣
472830,鹽,2.0,小匙
479528,中筋麵粉,550.0,g
479528,速發酵母/耐高糖酵母,6.0,g
479528,植物油,50.0,g
479528,南瓜,380.0,g
479528,煉乳,60.0,g
479528,砂糖,30.0,g
469856,雞胸肉切丁,300.0,g
469856,南瓜切塊,200.0,g
469856,四季豆切段,100.0,g
469856,糖,0.25,大匙
469856,鹽,0.25,大匙
469856,黑胡椒粉,0.25,大匙
469856,蒜末,5.0,辦
469856,油,1.0,大匙
469856,蠔油,1.0,大匙
469856,黑胡椒粉,0.25,匙
469856,蒜末,5.0,辦
469856,油,1.0,大匙
476867,栗子南瓜,0.5,顆
476867,梅花肉,400.0,克
476867,蒜頭,10.0,瓣
476867,素蠔油,1,大匙
476867,豆鼓,1,大匙
473917,南瓜,1.0,顆
473917,冷凍蔥油餅,2.0,片
473917,牛奶,10.0,毫升
473917,糖,1.0,大匙
473917,葡萄乾,適量,
475357,小南瓜,0.5,顆
475357,馬鈴薯,1.0,顆
475357,紅蘿蔔,0.5,條
475357,義大利螺旋麵,2.0,人份
475357,培根片,適量,
475357,大蒜,5.0,瓣
475357,有鹽奶油,15.0,克
475357,鹽巴,適量,
475357,黑胡椒粉,適量,
475357,豬骨高湯,4.0,匙
475357,羅勒葉粉,適量,
475357,起司絲,適量,
459787,南瓜,0.5,顆
459787,蒜末,1.0,小匙
459787,鹽,1.0,茶匙
459787,胡椒粉,少許,
459787,麵粉,1.0,大匙
459787,太白粉,1.0,大匙
459787,油,1.0,大匙
469314,蔥抓餅皮,3.0,塊
469314,南瓜,1.0,顆
469314,水果醋,適量,
469314,沙拉醬,適量,
472234,栗子南瓜,2.0,顆小
472234,豆腐,1.0,盒
472234,肉絲,0.5,碗
472234,紅蘿蔔,1.0,小條
472234,蒜頭末,1.0,大匙
472234,雞蛋,2.0,顆
472234,雞湯塊,1.0,塊
472234,胡椒粉,1.0,小匙
467671,米粉,適量,
467671,紅蘿蔔絲,適量,
467671,蔥,2.0,支
467671,乾香菇切絲,5.0,朵
467671,黑木耳,適量,
467671,蒸熟南瓜塊,適量,
467671,五花肉切條,適量,
467671,蝦米,適量,
467671,醬油,適量,
467671,黑胡椒,適量,
468326,栗子南瓜,1.0,顆
468326,醬油,1.0,大匙
468326,清酒/米酒,1.0,大匙
468326,味醂,1.0,大匙
468326,砂糖,1.0,小匙
468326,水,200.0,毫升
473379,康寶玉米濃湯粉,1.0,包
473379,紅蘿蔔絲,1.0,條
473379,南瓜,0.5,顆
473379,高麗菜絲,0.333,顆
459396,米粉,1.0,球
459396,豬肉絲,50.0,g
459396,蝦米,2.0,g
459396,乾香菇,20.0,g
459396,紅蘿蔔蘿蔔,15.0,g
459396,高麗菜,30.0,g
459396,南瓜,25.0,g
459396,洋蔥,15.0,g
459396,鹽,少許,
459396,糖,少許,
459396,醬油,1.0,大匙
459396,糖,1.0,大匙
459396,沙拉油,1.0,大匙
459396,鹽,0.5,匙
459396,香油,1.0,大匙
459396,胡椒,適量,
459396,米酒,1.0,大匙
459396,水,0.75,杯
459396,南瓜泥,50.0,g
472762,馬鈴薯丁,1.0,顆
472762,洋蔥丁,0.5,個
472762,栗子南瓜泥,0.5,顆
472762,蛋液,1.0,顆
472762,酥炸粉或麵粉,200.0,克
472762,鹽巴,1.0,小匙
472762,胡椒粉,1.0,小匙
472762,綠花椰菜末,2.0,大匙
470451,南瓜,0.25,顆
470451,豬小排,1.0,包
470451,醬油,2.0,大匙
470451,冰糖,1.0,大匙
470451,蒸肉粉,0.5,包
467614,水手牌特級強力粉,250.0,克
467614,水手牌超級蛋糕粉,30.0,克
467614,南瓜,80.0,克
467614,奶粉,6.0,克
467614,速發酵母,3.0,克
467614,糖,20.0,克
467614,鹽,3.0,克
467614,水,120.0,克
467614,奶油,20.0,克
467614,棉線,3.0,條
473604,南瓜,150.0,克
473604,去骨雞腿肉,300.0,克
473604,白米,2.0,米杯
473604,洋蔥,50.0,克
473604,鴻喜菇,50.0,克
473604,鮮香菇,50.0,克
473604,蔥,0.5,支
473604,鹽,0.125,小匙
473604,白胡椒粉,0.125,小匙
473604,「烹大師」昆布風味,1.0,小匙
473604,醬油,1.0,大匙
473604,白胡椒粉,0.125,小匙
458001,南瓜,0.2,顆
458001,雞蛋,4.0,顆
458001,雞粉,1.0,小匙
458001,鹽,0.5,茶匙
479148,四季豆,20.0,條
479148,培根,10.0,片
479148,七味粉,適量,
479148,鹽巴,適量,
479148,胡椒粉,適量,
478763,四季豆,200.0,g
478763,蘑菇,100.0,g
478763,蒜末,1.0,小匙
478763,胡椒鹽,少許,
479531,牛肉,4.0,人份
479531,四季豆,4.0,人份
479531,誠泰蔭油,適量,
479531,米酒,適量,
451942,冷凍敏豆,300.0,克
451942,蒜末,1.5,大匙
451942,蝦米,1.0,大匙
451942,蝦皮,1.0,大匙
451942,潘泰諾華星蝦醬,1.5,大匙
451942,魚露,1.5,茶匙
451942,米酒,10.0,毫升
451942,水,30.0,毫升
475355,四季豆切段,400.0,公克
475355,豬絞肉,200.0,公克
475355,蔥切末,1.0,根
475355,蒜頭切末,5.0,瓣
475355,蝦米,1.0,大湯匙
475355,辣椒切段,1.0,根
475355,香油,1.0,大湯匙
475355,醬油,1.0,大湯匙
475355,鹽巴,0.25,大湯匙
475355,白胡椒粉,0.25,大湯匙
475355,糖,0.25,大湯匙
475355,清水,15.0,cc
469554,四季豆,50.0,克
469554,蛋,1.0,顆
469554,蒜頭,4.0,瓣
469554,鹽,0.5,鹽匙
469554,胡椒粉,適量,
469554,橄欖油,1.0,匙
476351,四季豆1斤/,600.0,g
476351,沙拉油,1.0,大匙
476351,食鹽,1.0,茶匙
476351,砂糖,1.0,茶匙
476351,熱水,1.2,公升
476351,香油,1.0,大匙
476351,黑胡椒粉,1.0,茶匙
476351,白胡椒粉,0.5,茶匙
476351,食鹽,0.25,茶匙
476351,味精,0.125,茶匙
476293,生豆包,4.0,片
476293,四季豆,300.0,公克
476293,蔥切末,2.0,根
476293,蒜頭切末,8.0,瓣
476293,辣椒,隨意,
476293,白胡椒粉,0.25,大湯匙
476293,鹽巴,0.25,大湯匙
476293,花椒粉,0.25,大湯匙
476293,糖,0.125,大湯匙
472055,四季豆,1.0,包
472055,豬絞肉,0.5,盒
472055,豆豉,1.0,大匙
472055,辣椒,1.0,根
472055,鹽,1.0,小匙
472055,醬油,1.0,匙
472055,白胡椒,0.5,小匙
472055,香油,1.0,小匙
469852,皮蛋,1.0,顆
469852,四季豆,5.0,根
469852,豬絞肉,150.0,克
469852,辣椒,1.0,小根
469852,米酒,1.0,小匙
469852,蒜末,2.0,粒
469852,豆豉醬,1.0,茶匙
469852,薄鹽醬油,1.0,小匙
474361,四季豆,200.0,克
474361,蝦皮,適量,
474361,蒜末,1.0,大匙
474361,辣椒,適量,
474361,胡椒粉,少許,
469125,四季豆,1.0,大把
469125,蒜頭,3~4,瓣
469125,蛋,4.0,顆
469125,蔥,2.0,支
469125,辣椒,2.0,支
469125,椒鹽粉,2.0,小匙
469125,辣豆瓣醬,1.0,大匙
469125,蠔油,1.0,大匙
469125,糖,適量,
476415,李錦記 頭道零添加原釀醬油,1.0,大匙
476415,豆包,1.0,片
476415,四季豆,3.0,根
476415,雞胸肉,0.333,塊
476415,黑胡椒,適量,
476415,雞蛋,1.0,顆
464875,四季豆,1.0,包
464875,鹹蛋,3.0,個
464875,白砂糖,少許,
464875,米酒,1.0,茶匙
468428,小粒牛番茄,3.0,顆
468428,雞蛋,3.0,顆
468428,四季豆,3.0,根
468428,番茄醬,少許,
468428,醬油,少許,
468428,砂糖,少許,
468428,水,少許,
479126,去骨雞腿排,1.0,支
479126,蘑菇,1.0,盒
479126,四季豆,200.0,克
479126,雞蛋,1.0,顆
479126,麵粉,2.0,大匙
479126,胡椒粉,1.0,小匙
479126,鹽巴,1.0,小匙
479126,七味粉,1.0,大匙
479126,鹽巴,1.0,小匙
479126,胡椒粉,1.0,小匙
466689,甜玉米,1.0,小罐
466689,洋蔥,0.5,顆
466689,鮭魚菲力,2.0,份
466689,飯,3.0,碗
466689,四季豆,1.0,把
466689,蛋,4.0,顆
470238,四季豆,1.0,包
470238,鹹蛋,2.0,顆
470238,蒜末,3.0,瓣
470238,白芝麻,1.0,小匙
467448,雞胸肉塊,1.0,盒
467448,四季豆,8.0,根
467448,杏鮑菇,1.0,條
467448,蒜頭,2.0,瓣
467448,薄盬酱油,1.0,小匙
467448,盬,1.0,小匙
467448,胡椒粉,1.0,小匙
467448,水,50.0,毫升
467448,食用油,1.0,小匙
476788,四季豆,400.0,g
476788,奧勒岡榛果油,1.0,大匙
476788,奧勒岡榛果油,1.0,大匙
476788,榛果伍仁辣椒醬0.,5~1,大匙
476788,鹽,0.25,茶匙
471654,宏裕行花枝漿,適量,
471654,四季豆丁,4.0,枝
471654,豆皮,2.0,張
471654,麵粉,適量,
471654,水,少量,
460932,蛋餅皮,1.0,片
460932,四季豆,6.0,根
460932,素香鬆,1.0,大匙
460932,胡麻醬,1.0,小匙
456620,四季豆,300.0,克
456620,香腸,2.0,條
475057,四季豆,1.0,包
475057,橄欖油,1.0,大匙
475057,黑胡椒粒,1.0,茶匙
475057,鹽,0.5,茶匙
475057,蒜頭切片,2.0,顆
431254,敏豆,1.0,盒
431254,奶油,1.0,小塊
431254,蝦仁,8.0,尾
431254,蒜末,1.0,大匙
431254,鹽巴,1.0,匙
431254,黑胡椒,少許,
431254,鹽巴,適量,
460290,豬絞肉,300.0,克
460290,四季豆,300.0,克
460290,醬油,5.0,大匙
460290,砂糖,5.0,茶匙
460290,蒜頭,適量,
460290,辣椒,適量,
469124,四季豆,150.0,克
469124,杏鮑菇,150.0,克
469124,蒜頭,3.0,瓣
469124,醬油,1.0,小匙
469124,蠔油,2.0,小匙
469124,黑胡椒,適量,
469124,鹽,適量,
466559,大素雞,4.0,條
466559,四季豆,1.0,包
466559,蒜末,2.0,瓣
466559,酱油,1.0,小匙
466559,盬,1.0,小匙
471656,肉排絲,1.0,張
471656,紅辣椒丁,1.0,根
471656,糯米椒丁,1.0,根
471656,薑未,適量,
471656,蒜未,2.0,顆
471656,豆乾丁,2.0,塊
471656,糯米醋,適量,
471656,香油,適量,
471656,米酒,少量,
471656,鹽,適量,
471656,味精,適量,
471861,四季豆,1.0,包
471861,肉片,50.0,克
471861,避風塘蟹香蒜酥,2.0,大匙
471861,蒜頭,3.0,顆
461567,菜脯碎,200.0,克
461567,四季豆,150.0,把
461567,絞肉,100.0,克
461567,蒜末,20.0,克
461567,辣椒,20.0,克
461567,砂糖,1.0,茶匙
461567,胡椒粉,1.0,小匙
461567,雞晶粉,1.0,茶匙
479552,瓜瓜園冰烤地瓜,1~2,條
479552,配方奶,100.0,ml
479552,蛋黃,2.0,顆
479553,地瓜,150.0,克
479553,防潮可可粉,適量,
479553,無鹽奶油,10.0,克
479553,牛奶,1.0,大匙
479553,蜂蜜,0.5,大匙
479553,無糖可可粉,2.0,小匙
479551,瓜瓜園蒸地瓜,2.0,條
479551,小黃瓜,0.5,根
479551,紅蘿蔔,0.5,根
479551,洋蔥,0.5,顆
479551,雞蛋,1.0,顆
479551,牛奶,適量,
479551,黑胡椒,適量,
479550,小黃瓜,0.5,條
479550,玉米筍,4~6,根
479550,瓜瓜園冰烤地瓜,2~3,條
479554,瓜瓜園冰烤地瓜,80.0,克
479554,高蛋白粉,20.0,克
479554,無糖豆漿,30.0,毫升
479554,奇亞籽,5.0,克
479554,堅果,適量,
479554,水,30.0,毫升
479554,泡打粉,5.0,克
475642,地瓜,8.0,大顆
478350,地瓜葉,1.0,大把
478350,皮蛋,2.0,顆
478350,蒜頭,10.0,克
478350,香油,1.0,小匙
478350,白胡椒粉,適量,
478350,太白粉,1.0,小匙
