id,預覽食材,詳細食材
467438,乳酪,乳酪30g
467438,水,水手牌法國麵包粉150g
467438,葵花油,葵花油15ｇ
379428,蛤蜊,蛤蜊600g
379428,九層塔,九層塔15片
379428,姜絲,姜絲20條
379428,油,油一大匙
379428,高湯,高湯3大匙
379428,鹽,鹽少許
379428,米酒,米酒1小匙
448142,蛋,蛋2顆
448142,九層塔,九層塔適量
448142,鹽,鹽1小匙
448142,醬油,醬油 1小匙
450744,麵腸,麵腸2條
450744,九層塔,九層塔1小把
450744,薑絲蒜末,薑絲蒜末適量
450744,米酒,米酒少許
449881,白飯或隔夜飯,白飯或隔夜飯2碗
449881,九層塔,九層塔2把
449881,雞蛋,雞蛋4顆
449881,油,油1大匙
449881,醬油,醬油1大匙
449881,鹽巴,鹽巴0.5小匙
465464,蛤蠣,蛤蠣2斤
465464,九層塔,九層塔1把
465464,蒜頭,蒜頭5顆
465464,薑片,薑片5片
465464,蔥,蔥2支
465464,黑麻油,黑麻油3大匙
465464,醬油膏,醬油膏3大匙
465464,米酒,米酒3大匙
465464,烏醋,烏醋1大匙
464974,蚵仔,蚵仔2斤
464974,地瓜粉,地瓜粉200g
464974,九層塔,九層塔1把
464974,胡椒粉,胡椒粉適量
453640,櫛瓜,櫛瓜1條
453640,蝦花蝦,蝦花蝦10克
453640,吻仔魚,吻仔魚10克
453640,胡蘿蔔絲,胡蘿蔔絲少許
453640,九層塔,九層塔1把
453640,蛋,蛋1顆
464260,九層塔,九層塔100公克
464260,核桃,核桃100公克
464260,橄欖油,橄欖油100公克
464260,黑胡椒,黑胡椒2公克
464260,鹽,鹽5公克
464260,味精,味精2.5公克
452414,雞胸肉,雞胸肉100克
452414,九層塔葉,九層塔葉5克
452414,華盛頓翠玉蘋果,華盛頓翠玉蘋果1顆
452414,醬油,醬油20克
452414,糖,糖20克
452414,胡椒粉,胡椒粉5克
452414,洋蔥,洋蔥10克
452414,胡蘿蔔,胡蘿蔔0.5條
452414,蓮藕粉,蓮藕粉2克
454884,蒜頭,蒜頭100 克
454884,蔥,蔥1~2 根
454884,海鹽,海鹽1 小匙
454884,九層塔,九層塔約 35克
454884,義式香料,義式香料1 大匙
454884,Kolin 歌林多功能食物調理,Kolin 歌林多功能食物調理1台
454884,無鹽奶油,無鹽奶油250 克
454884,細砂糖,細砂糖1/2 大匙
454884,起司粉,起司粉1/2 大匙
460562,茄子,茄子2條
460562,蒜末,蒜末2大匙
460562,薑泥,薑泥少許
460562,辣椒末,辣椒末1條
460562,九層塔切絲,九層塔切絲1大匙
460562,羅漢果糖,羅漢果糖1大匙
460562,香油,香油1小匙
460562,米醋,米醋2小匙
460562,醬油,醬油3大匙
445241,蚵仔,蚵仔200克
445241,蔥花,蔥花20克
445241,薑絲,薑絲10克
445241,豆腐,豆腐150克
445241,米酒,米酒2大匙
445241,白醋,白醋2大匙
445241,香油,香油2小匙
445241,九層塔,九層塔1小把
449539,吳郭魚,吳郭魚2尾
449539,九層塔,九層塔1把
449539,豆瓣醬,豆瓣醬1小匙
449539,蒜頭,蒜頭6瓣
449539,醬油,醬油1匙
449539,蔥段,蔥段2根
449539,黑醋,黑醋1大匙
449539,辣椒,辣椒1根
449539,香油,香油1小匙
478783,冬瓜,冬瓜5至6公分厚一片
478783,香菇,香菇4朵
478783,淡味醬油,淡味醬油1大匙
478783,蝦米或蝦皮,蝦米或蝦皮2大匙
478783,香菇素蠔油,香菇素蠔油1大匙
478783,蔥或香菜,蔥或香菜適量
478783,胡椒粉,胡椒粉少許
478783,紅辣椒,紅辣椒1條
478783,薑片,薑片4片
476317,仙草,仙草2盒
476317,冬瓜磚,冬瓜磚1份
478999,冬瓜,冬瓜1人份
478999,薑,薑適量
478999,醬油,醬油1.5大匙
478999,鹽,鹽適量
478999,糖,糖適量
478999,水,水淹過冬瓜
478999,九層塔,九層塔適量
478582,水,水200毫升
478582,薑絲,薑絲少許
478582,冬瓜,冬瓜市售1塊
478582,蛤蠣,蛤蠣市售1盒
478582,排骨,排骨市售1盒
467984,香菇,香菇2朵
467984,冬瓜,冬瓜600克
467984,蠔油,蠔油1大匙
467984,金針,金針10克
467984,雞粉,雞粉1小匙
466517,冬瓜,冬瓜300克
466517,肝連肉,肝連肉200克
466517,雞粉,雞粉1小匙
466517,米酒,米酒1小匙
466517,鹽,鹽1小匙
187769,冬瓜,冬瓜500g
187769,油豆腐,油豆腐100g
187769,鹽,鹽半茶些
187769,攪肉,攪肉150g
187769,蠔油,蠔油一湯匙
187769,冬菇,冬菇6隻
187769,生粉,生粉少許
187769,水,水200ml
471099,蝦米,蝦米適量
471099,冬瓜,冬瓜適量
471099,鹽,鹽少量
471099,五花肉火鍋肉片,五花肉火鍋肉片適量
471099,味精,味精少量
471099,好勁道寬麵,好勁道寬麵適量
471099,香油,香油適量
471099,雞蛋,雞蛋1粒
472801,新鮮冬瓜,新鮮冬瓜1節
472801,黑糖粉,黑糖粉80克
472801,砂糖,砂糖200克
471942,排骨酥,排骨酥150克
471942,冬瓜一片,冬瓜一片300克
471942,薑絲,薑絲2片
471942,清水,清水800毫升
471942,醬油,醬油1小匙
471942,鮮味炒手,鮮味炒手1/2小匙
471942,糖,糖1/4小匙
471942,鹽,鹽1/4小匙
477202,冬瓜,冬瓜1塊
477202,白醋,白醋1大匙
477202,蜂蜜,蜂蜜1大匙
477202,奇亞籽,奇亞籽1小匙
467657,冬瓜,冬瓜1塊
467657,絞肉,絞肉1糰
467657,薑,薑3片
467657,蔥,蔥1根
467657,鹽,鹽1小匙
467657,醬油,醬油1小匙
467657,米酒,米酒兩三滴
470966,冬瓜磚,冬瓜磚1小塊
470966,統一鮮奶,統一鮮奶1瓶
470966,咖啡,咖啡適量
463444,土雞腿,土雞腿700克
463444,冬瓜,冬瓜600克
463444,薑,薑1大匙
463444,鹽,鹽1大匙
463444,水,水1200毫升
468453,冬瓜,冬瓜300克
468453,雞腿肉切丁,雞腿肉切丁250克
468453,鴻禧菇,鴻禧菇100克
468453,蔥花,蔥花1把
468453,醬油,醬油2大匙
468453,米酒,米酒2大匙
468453,砂糖,砂糖1茶匙
468453,胡椒粉,胡椒粉1小匙
461452,冬瓜,冬瓜300克
461452,絞肉,絞肉100克
461452,辣腐乳,辣腐乳2塊
461452,腐乳汁,腐乳汁2大匙
461452,蒜末,蒜末20克
461452,蔥花,蔥花20克
461452,米酒,米酒2大匙
461452,水,水1碗
464635,冬瓜,冬瓜600g
464635,老薑,老薑5片
464635,魚露,魚露2茶匙
464635,蝦皮,蝦皮2大匙
464635,米酒,米酒2茶匙
464635,枸杞,枸杞1茶匙
464635,鹽,鹽¼茶匙
464635,熱水,熱水1公升
464635,雞粉,雞粉¼茶匙
464635,白胡椒粉,白胡椒粉¼茶匙
464635,植物油,植物油1大匙
463523,冬瓜,冬瓜 800克
463523,薏仁,薏仁25克
463523,梅花豬肉塊,梅花豬肉塊150克
463523,薑,薑2片
464677,冬瓜,冬瓜300克
464677,菜脯,菜脯50克
464677,蝦米,蝦米10克
464677,薑絲,薑絲20克
464677,醬油,醬油1大匙
464677,米酒,米酒2大匙
464677,砂糖,砂糖1大匙
459512,冬瓜,冬瓜一塊
459512,雞胸肉,雞胸肉2片
459512,醬油,醬油1.5匙
459512,蝦仁,蝦仁12隻
459512,胡椒鹽,胡椒鹽1大匙
459512,薑泥,薑泥1匙
459512,香油,香油少許
463145,冬瓜,冬瓜300克
463145,乾香菇,乾香菇6朵
463145,豆豉,豆豉1大匙
463145,醬油,醬油2大匙
463145,砂糖,砂糖1大匙
463145,水,水1碗
461790,去骨雞腿肉,去骨雞腿肉1隻
461790,香菇,香菇5朵
461790,冬瓜,冬瓜300克
461790,剝皮辣椒,剝皮辣椒半瓶
461790,鹽巴,鹽巴1.5匙
462080,冬瓜,冬瓜240 g
462080,蘋果,蘋果半顆
462080,蜂蜜或黑糖,蜂蜜或黑糖適量
462080,糯米粉,糯米粉60g
462080,水,水60g
458513,薑絲,薑絲10克
458513,冬瓜,冬瓜1片
458513,排骨,排骨50元
458513,鹽巴,鹽巴1.5匙
458877,松阪豬,松阪豬1碗
458877,蔥段,蔥段1根
458877,蠔油,蠔油2大匙
458877,薑絲,薑絲3片
458877,鹽,鹽適量
458877,冬瓜,冬瓜1片
458877,糖,糖適量
458877,白胡椒粉,白胡椒粉適量
458877,米酒,米酒1茶匙
458877,橄欖油,橄欖油1小匙
458877,水,水0.5杯
463697,豬後腿心肉,豬後腿心肉1塊
463697,冬瓜,冬瓜1輪
463697,薑片,薑片2～3片
463697,醬油,醬油60毫升
463697,冰糖,冰糖1大匙
463697,水,水400毫升
463697,滷包,滷包1包
461876,排骨,排骨適量
461876,冬瓜,冬瓜1~2片
461876,薑,薑3~5片
461876,蔥,蔥1根
461876,薏仁,薏仁適量
461876,蓮子,蓮子適量
461876,米酒,米酒少量
460460,蝦,蝦150克
460460,絞肉,絞肉150克
460460,薑末,薑末2大匙
460460,蔥,蔥2支
460460,冬瓜湯,冬瓜湯1小鍋
460460,蛋,蛋1個
460460,玉米粉,玉米粉2匙
468160,冬瓜,冬瓜400克
468160,新鮮黑木耳,新鮮黑木耳半盒
468160,雞蛋,雞蛋2粒
468160,蕃茄,蕃茄3顆
468160,食用鹽,食用鹽1小匙
479557,貝貝南瓜,貝貝南瓜1顆
479557,牛奶,牛奶50毫升
479557,糖,糖5克
479557,蛋,蛋1顆
478985,貝貝南瓜,貝貝南瓜1顆
478985,鮮菇,鮮菇8~9朵
478985,蒜瓣,蒜瓣3瓣
478985,蔥白,蔥白1根
478985,手工麵麵,手工麵麵1軸
478985,白胡椒粉,白胡椒粉1/4小匙
478985,油,油2小匙
478143,南瓜,南瓜半顆
478143,雞蛋,雞蛋3顆
478143,玉米筍,玉米筍3根
478143,玉米粒,玉米粒適量
478143,蘋果,蘋果1顆
478143,紅蘿蔔,紅蘿蔔1條
478036,小米,小米1米杯
478036,栗子南瓜約300g,栗子南瓜約300g1顆
478036,薑末,薑末少許
478036,紅棗,紅棗6顆
478036,苟杞,苟杞少許
478970,中型南瓜,中型南瓜1個
478970,洋蔥,洋蔥1顆
478970,義大利香料,義大利香料1大匙
478970,牛奶,牛奶250克
478970,胡椒粉,胡椒粉1小匙
478970,鹽巴,鹽巴1小匙
478300,南瓜半個,南瓜半個1台斤
476135,蒸熟的南瓜,蒸熟的南瓜160克
476135,中筋麵粉,中筋麵粉340克
476135,糖,糖10克
476135,速發酵母粉,速發酵母粉4克
476135,鮮奶,鮮奶120毫升
476919,貝貝南瓜,貝貝南瓜3顆
476919,海鹽,海鹽1小匙
476919,黑胡椒,黑胡椒1小匙
476919,義大利香料,義大利香料1小匙
476919,紅椒粉,紅椒粉0.5小匙
476919,食用油,食用油適量
475826,南瓜,南瓜適量
475826,豬肉片,豬肉片100g
475826,味噌,味噌一大匙
475826,米酒,米酒一小匙
475826,鹽,鹽一小搓
475826,味醂,味醂一小匙
475826,水,水一大匙
471965,南瓜,南瓜0.5顆
471965,雞胸肉,雞胸肉1包
471965,雞粉,雞粉1小匙
471965,鹽,鹽1小匙
471965,米酒,米酒1小匙
471965,香油,香油1小匙
471965,太白粉,太白粉1小匙
472830,帶皮貝貝南瓜,帶皮貝貝南瓜490克
472830,地瓜粉,地瓜粉適量
472830,鹹蛋黃,鹹蛋黃3顆
472830,米酒,米酒適量
472830,蒜頭切末,蒜頭切末2瓣
472830,鹽,鹽2小匙
479528,中筋麵粉,中筋麵粉550g
479528,速發酵母/耐高糖酵母,速發酵母/耐高糖酵母6g
479528,南瓜,南瓜380g
479528,植物油,植物油50g
479528,煉乳,煉乳60g
479528,砂糖,砂糖30g
469856,雞胸肉切丁,雞胸肉切丁300g
469856,南瓜切塊,南瓜切塊200g
469856,鹽,鹽1/4大匙
469856,四季豆切段,四季豆切段100g
469856,黑胡椒粉,黑胡椒粉1/4大匙
469856,蠔油,蠔油1大匙
469856,糖,糖1/4大匙
469856,蒜末,蒜末5辦
469856,油,油1大匙
476867,栗子南瓜,栗子南瓜半顆
476867,梅花肉,梅花肉400克
476867,蒜頭,蒜頭10瓣
476867,素蠔油,素蠔油一大匙
476867,豆鼓,豆鼓一大匙
473917,南瓜,南瓜1顆
473917,冷凍蔥油餅,冷凍蔥油餅2片
473917,牛奶,牛奶10毫升
473917,糖,糖1大匙
473917,葡萄乾,葡萄乾適量
475357,小南瓜,小南瓜0.5顆
475357,馬鈴薯,馬鈴薯1顆
475357,鹽巴,鹽巴適量
475357,紅蘿蔔,紅蘿蔔0.5條
475357,黑胡椒粉,黑胡椒粉適量
475357,義大利螺旋麵,義大利螺旋麵2人份
475357,豬骨高湯,豬骨高湯4匙
475357,培根片,培根片適量
475357,羅勒葉粉,羅勒葉粉適量
475357,大蒜,大蒜5瓣
475357,起司絲,起司絲適量
475357,有鹽奶油,有鹽奶油15克
459787,南瓜,南瓜0.5顆
459787,蒜末,蒜末1小匙
459787,鹽,鹽1茶匙
459787,胡椒粉,胡椒粉少許
459787,麵粉,麵粉1大匙
459787,太白粉,太白粉1大匙
459787,油,油1大匙
469314,蔥抓餅皮,蔥抓餅皮3塊
469314,南瓜,南瓜1顆
469314,水果醋,水果醋適量
469314,沙拉醬,沙拉醬適量
472234,栗子南瓜,栗子南瓜2顆小
472234,豆腐,豆腐1盒
472234,雞湯塊,雞湯塊1塊
472234,肉絲,肉絲半碗
472234,胡椒粉,胡椒粉1小匙
472234,紅蘿蔔,紅蘿蔔1小條
472234,蒜頭末,蒜頭末1大匙
472234,雞蛋,雞蛋2顆
467671,米粉,米粉適量
467671,紅蘿蔔絲,紅蘿蔔絲適量
467671,蔥,蔥2支
467671,乾香菇切絲,乾香菇切絲5朵
467671,黑木耳,黑木耳適量
467671,蒸熟南瓜塊,蒸熟南瓜塊適量
467671,五花肉切條,五花肉切條適量
467671,蝦米,蝦米適量
467671,醬油,醬油適量
467671,黑胡椒,黑胡椒適量
468326,栗子南瓜,栗子南瓜1 顆
468326,醬油,醬油1 大匙
468326,清酒/米酒,清酒/米酒1 大匙
468326,味醂,味醂1 大匙
468326,砂糖,砂糖1 小匙
468326,水,水200 毫升
473379,康寶玉米濃湯粉,康寶玉米濃湯粉1包
473379,紅蘿蔔絲,紅蘿蔔絲1條
473379,南瓜,南瓜半顆
473379,高麗菜絲,高麗菜絲1/3顆
459396,米粉,米粉1球
459396,豬肉絲,豬肉絲50g
459396,鹽,鹽少許
459396,蝦米,蝦米2g
459396,糖,糖少許
459396,醬油,醬油1大匙
459396,乾香菇,乾香菇20g
459396,紅蘿蔔蘿蔔,紅蘿蔔蘿蔔15g
459396,沙拉油,沙拉油1大匙
459396,高麗菜,高麗菜30g
459396,南瓜,南瓜25g
459396,香油,香油1大匙
459396,洋蔥,洋蔥15g
459396,胡椒,胡椒適量
459396,米酒,米酒1大匙
459396,水,水3/4杯
459396,南瓜泥,南瓜泥50g
472762,馬鈴薯丁,馬鈴薯丁1顆
472762,洋蔥丁,洋蔥丁0.5個
472762,栗子南瓜泥,栗子南瓜泥0.5顆
472762,蛋液,蛋液1顆
472762,酥炸粉或麵粉,酥炸粉或麵粉200克
472762,鹽巴,鹽巴1小匙
472762,胡椒粉,胡椒粉1小匙
472762,綠花椰菜末,綠花椰菜末2大匙
470451,南瓜,南瓜1/4顆
470451,豬小排,豬小排1包
470451,醬油,醬油2大匙
470451,冰糖,冰糖1大匙
470451,蒸肉粉,蒸肉粉半包
467614,水手牌特級強力粉,水手牌特級強力粉250克
467614,水手牌超級蛋糕粉,水手牌超級蛋糕粉30克
467614,棉線,棉線3條
467614,南瓜,南瓜80克
467614,奶粉,奶粉6克
467614,速發酵母,速發酵母3克
467614,糖,糖20克
467614,鹽,鹽3克
467614,水,水手牌特級強力粉250克
467614,奶油,奶油20克
473604,南瓜,南瓜150 克
473604,去骨雞腿肉,去骨雞腿肉300 克
473604,鹽,鹽1/8 小匙
473604,白米,白米2 米杯
473604,白胡椒粉,白胡椒粉1/8 小匙
473604,「烹大師」昆布風味,「烹大師」昆布風味1 小匙
473604,洋蔥,洋蔥50 克
473604,醬油,醬油1 大匙
473604,鴻喜菇,鴻喜菇50 克
473604,鮮香菇,鮮香菇50 克
473604,蔥,洋蔥50 克
458001,南瓜,南瓜0.2顆
458001,雞蛋,雞蛋4顆
458001,雞粉,雞粉1小匙
458001,鹽,鹽0.5茶匙
479148,四季豆,四季豆20條
479148,培根,培根10片
479148,七味粉,七味粉適量
479148,鹽巴,鹽巴適量
479148,胡椒粉,胡椒粉適量
478763,四季豆,四季豆200g
478763,蘑菇,蘑菇100g
478763,蒜末,蒜末1小匙
478763,胡椒鹽,胡椒鹽少許
479531,牛肉,牛肉4人份
479531,四季豆,四季豆4人份
479531,誠泰蔭油,誠泰蔭油適量
479531,米酒,米酒適量
451942,冷凍敏豆,冷凍敏豆300克
451942,蒜末,蒜末1.5大匙
451942,潘泰諾華星蝦醬,潘泰諾華星蝦醬1.5大匙
451942,蝦米,蝦米1大匙
451942,魚露,魚露1.5茶匙
451942,蝦皮,蝦皮1大匙
451942,米酒,米酒10毫升
451942,水,水30毫升
475355,四季豆切段,四季豆切段400公克
475355,豬絞肉,豬絞肉200公克
475355,蔥切末,蔥切末1根
475355,蒜頭切末,蒜頭切末5瓣
475355,醬油,醬油1大湯匙
475355,蝦米,蝦米1大湯匙
475355,鹽巴,鹽巴1/4大湯匙
475355,辣椒切段,辣椒切段1根
475355,白胡椒粉,白胡椒粉1/4大湯匙
475355,香油,香油1大湯匙
475355,糖,糖1/4大湯匙
475355,清水,清水15cc
469554,四季豆,四季豆50克
469554,蛋,蛋1顆
469554,蒜頭,蒜頭4瓣
469554,鹽,鹽1/2鹽匙
469554,胡椒粉,胡椒粉適量
469554,橄欖油,橄欖油1匙
476351,四季豆,四季豆1斤/600g
476351,沙拉油,沙拉油1大匙
476351,香油,香油1大匙
476351,食鹽,食鹽1茶匙
476351,黑胡椒粉,黑胡椒粉1茶匙
476351,砂糖,砂糖1茶匙
476351,白胡椒粉,白胡椒粉1/2茶匙
476351,熱水,熱水1.2公升
476351,味精,味精1/8茶匙
476293,生豆包,生豆包4片
476293,四季豆,四季豆300公克
476293,蔥切末,蔥切末2根
476293,蒜頭切末,蒜頭切末8瓣
476293,白胡椒粉,白胡椒粉1/4大湯匙
476293,辣椒,辣椒隨意
476293,鹽巴,鹽巴1/4大湯匙
476293,花椒粉,花椒粉1/4大湯匙
476293,糖,糖1/8大湯匙
472055,四季豆,四季豆1包
472055,豬絞肉,豬絞肉0.5盒
472055,豆豉,豆豉1大匙
472055,辣椒,辣椒1根
472055,鹽,鹽1小匙
472055,醬油,醬油1匙
472055,白胡椒,白胡椒0.5小匙
472055,香油,香油1小匙
469852,皮蛋,皮蛋1顆
469852,四季豆,四季豆5根
469852,豬絞肉,豬絞肉150克
469852,辣椒,辣椒1小根
469852,米酒,米酒1小匙
469852,蒜末,蒜末2粒
469852,豆豉醬,豆豉醬1茶匙
469852,薄鹽醬油,薄鹽醬油1小匙
474361,四季豆,四季豆200克
474361,蝦皮,蝦皮適量
474361,蒜末,蒜末1大匙
474361,辣椒,辣椒適量
474361,胡椒粉,胡椒粉少許
469125,四季豆,四季豆1大把
469125,蒜頭,蒜頭3~4瓣
469125,椒鹽粉,椒鹽粉2小匙
469125,蛋,蛋4顆
469125,辣豆瓣醬,辣豆瓣醬1大匙
469125,蔥,蔥2支
469125,蠔油,蠔油1大匙
469125,辣椒,辣椒2支
469125,糖,糖適量
476415,李錦記 頭道零添加原釀醬油,李錦記 頭道零添加原釀醬油1大匙
476415,豆包,豆包1片
476415,四季豆,四季豆3根
476415,雞胸肉,雞胸肉1/3塊
476415,黑胡椒,黑胡椒適量
476415,雞蛋,雞蛋1顆
464875,四季豆,四季豆1包
464875,鹹蛋,鹹蛋3個
464875,白砂糖,白砂糖少許
464875,米酒,米酒1茶匙
468428,小粒牛番茄,小粒牛番茄3顆
468428,雞蛋,雞蛋3顆
468428,四季豆,四季豆3根
468428,番茄醬,番茄醬少許
468428,醬油,醬油少許
468428,砂糖,砂糖少許
468428,水,水少許
479126,去骨雞腿排,去骨雞腿排1支
479126,蘑菇,蘑菇1盒
479126,胡椒粉,胡椒粉1小匙
479126,四季豆,四季豆200克
479126,鹽巴,鹽巴1小匙
479126,雞蛋,雞蛋1顆
479126,七味粉,七味粉1大匙
479126,麵粉,麵粉2大匙
466689,甜玉米,甜玉米1小罐
466689,洋蔥,洋蔥0.5顆
466689,鮭魚菲力,鮭魚菲力2份
466689,飯,飯3碗
466689,四季豆,四季豆1把
466689,蛋,蛋4顆
470238,四季豆,四季豆1包
470238,鹹蛋,鹹蛋2顆
470238,蒜末,蒜末3瓣
470238,白芝麻,白芝麻1小匙
467448,雞胸肉塊,雞胸肉塊1盒
467448,四季豆,四季豆8根
467448,盬,薄盬酱油1小匙
467448,杏鮑菇,杏鮑菇1條
467448,胡椒粉,胡椒粉1小匙
467448,蒜頭,蒜頭2瓣
467448,水,水50毫升
467448,薄盬酱油,薄盬酱油1小匙
467448,食用油,食用油1小匙
476788,四季豆,四季豆400g
476788,奧勒岡榛果油,奧勒岡榛果油1大匙
476788,奧勒岡榛果油,奧勒岡榛果油1大匙
476788,榛果伍仁辣椒醬,榛果伍仁辣椒醬0.5~1大匙
476788,鹽,鹽1/4茶匙
471654,宏裕行花枝漿,宏裕行花枝漿適量
471654,四季豆丁,四季豆丁4枝
471654,麵粉,麵粉適量
471654,豆皮,豆皮2張
471654,水,水少量
460932,蛋餅皮,蛋餅皮1片
460932,四季豆,四季豆6根
