recipe_id,description,step_no
479749,剝殼、去除過老的纖維後，滾刀切綠竹筍，盛盤完成。,3
479748,將杏鮑菇和甜椒川燙後瀝乾,1
479748,將雞腿排煎至金黃,2
479748,調醬料,3
479748,所有食材鋪上即完成,4
479737,▪️馬鈴薯削皮切細條，泡水去除澱粉後瀝乾 ,1
479737,▪️金針菇去根後剝散、蒜頭切末，青蔥切段備用,2
479737,▪️熱鍋加油，放入蒜末爆香，放入馬鈴薯絲，中火翻炒，炒到微透明但還保有脆度,3
479737,▪️放入金針菇繼續翻炒約2~3分鐘，直到金針菇出水變軟,4
479737,▪️加入黑豆醬油、白胡椒粉調味,5
479737,▪️起鍋前可滴幾滴香油提香，拌入蔥段,6
479736,▪️櫛瓜切段後中間劃一刀，不要把櫛瓜切斷 ▪️中間塞入花枝蝦滑,1
479736,▪️熱油鍋之後，下鍋煎，兩面煎上色，鍋中加入一些水，蓋上鍋蓋悶煮，蝦滑熟了就完成囉✅,2
479736,▪️最後可以淋上薄薄的黑豆醬油調味,3
479735,馬鈴薯切片，紅蘿蔔切丁，白煮蛋一起蒸熟,1
479735,蘋果切丁，蒸熟白煮蛋白切丁,2
479735,蛋黃馬鈴薯壓泥,3
479735,全部配料拌勻放入冰箱，食用時加入些許馬鈴薯或優格即可食用,4
479732,將五花肉片兩面沾附太白粉或片栗粉,1
479732,再將洋蔥絲以肉片捲起,2
479732,熱鍋,3
479732,倒入適量橄欖油,4
479732,將肉捲放入各面煎熟,5
479732,再倒進調料中大火煮至收汁,6
479732,起鍋前撒上白芝麻即可。,7
479722,白蘿蔔切片入鍋 冷水就下鍋一起煮到滾 轉中小火繼續煮 蓋鍋蓋,1
479722,中間加入玉米、紅蘿蔔煮一下 加入調味料試味道,2
479722,煮約45-60分鐘白蘿蔔煮透起鍋,3
479721,油、蒜頭下鍋爆香 加入茭白筍、豆子 加一點水 蓋鍋蓋 悶煮,1
479721,悶煮一下後加入蝦仁 再蓋鍋悶煮一下,2
479721,加入調味粉拌炒 待食材熟透後起鍋,3
479714,雞腿排加入少許胡椒粉，薑片，一大匙米酒跟一小匙鹽巴拌勻後醃個5分鐘。,1
479714,青蔥切好備用,2
479714,2杯米洗好瀝乾備用。,3
479714,起鍋倒入少許油，以中大火煎雞腿排，薑片也要一起放入鍋內爆香。,4
479714,雞腿排煎至表面微焦即可起鍋備用。,5
479714,接著倒入米，青蔥。,6
479714,以大火快炒拌勻後熄火。,7
479714,倒入2米杯的水跟一小匙鹽調味拌勻。,8
479714,將米飯倒入電鍋內鍋後，將雞腿排鋪在最上面。,9
479714,電鍋外鍋倒入一米杯水，煮到跳起後，悶5分鐘即可掀蓋讓水氣散去，米飯口感才會比較Q 電子鍋則按煮飯模式即可。,10
479714,盛碗享用。,11
479713,1）金針菇切去底部後,1
479713,撕成適口大小備用 2）2片豬肉片捲起金針菇3）蕃茄洗淨切片 4）起ㄧ油鍋,2
479713,豬肉捲放進鍋中小火蓋上鍋蓋,3
479713,慢煎至兩面金黃 5）調味料混合均勻後倒入,4
479713,大火收汁 6）將蕃茄片、豬肉捲擺盤即完成,5
479707,青蔥洗淨、控乾，切成小段,1
479707,倒入沙拉油，蓋上蓋子，微波爐中火加熱12分鐘【具體時長須視微波爐火力而定，建議每3~4分鐘檢查一次】,2
479707,炸至蔥段呈現深棕色即可【圖中有些太焦了】,3
479707,蔥油就完成了，因為炸蔥酥吃油，所以剩下的蔥油不多,4
479702,馬鈴薯洗淨表面污泥，不削皮切滾刀,1
479702,紅蘿蔔不削皮，切滾刀,2
479702,昆布醬油少許,3
479702,杏鮑菇切滾刀，進電鍋蒸，外鍋加一杯水，就完成啦～～～～,4
479669,高麗菜用手撕成大塊，洗淨後控乾備用,1
479669,加入一勺粗辣椒麵,2
479669,加兩勺韓式辣椒麵,3
479669,加半勺細辣椒麵,4
479669,加入蒜末、蔥段、洋蔥絲，再調入魚露、醬油、白醋、糖稀、雞粉、白芝麻、黑芝麻,5
479669,戴上手套，將食材抓拌均勻，最後淋入香油，再次拌勻即可,6
479663,▪️馬鈴薯切絲泡水去澱粉 ▪️熱油鍋，鋪平馬鈴薯絲煎,1
479663,▪️翻面煎,2
479663,▪️金針菇去尾端後切片 ▪️兩顆蛋+一小撮醬鹽打勻 ▪️將金針菇切片沾滿蛋液後放在馬鈴薯絲上平底鍋煎,3
479663,▪️翻面煎，鋪上起司絲，蓋上鍋蓋加速,4
479663,▪️ 灑上一點蔥點綴，完成✅,5
479657,將鮭魚與醃料混合醃製半小時,1
479657,冷鍋加入1大湯匙的油，開中火等油熱後加入鮭魚丁拌炒至變色,2
479657,加入櫛瓜、蒜頭及白胡椒粉拌炒1分鐘盛起備用,3
479657,加入1大湯匙的油，開大火等油熱後加入雞蛋炒碎,4
479657,加入1大湯匙的油，開大火等油熱後加入雞蛋炒碎,5
479657,加入鮭魚、櫛瓜及所有調味料轉大火拌炒一下並撒上蔥末即可收工,6
479623,綠竹筍剝去外殼，切除底部較粗糙纖維，再切丁。香菇切片狀；蝦米泡水10分鐘；蒜頭切末。,1
479623,熱鍋熱油，依序炒出蒜末、蝦米香氣。,2
479623,加入香菇炒軟，放入竹筍丁拌炒。 隨後加入米酒、醬油、蠔油、白胡椒、少許水調味。,3
479623,食材拌炒均勻上色，將湯汁收乾。,4
479623,把炒料鋪在白米上，加入高湯,5
479623,水，之後按照原本煮飯的方式開始烹飪。,6
479623,飯鍋完成烹飪後，開蓋拌一拌，撒上蔥花，完成。,7
479621,小黃瓜切絲後，加入鹽抓醃，靜置約30分鐘。,1
479621,30分鐘後小黃瓜絲軟化出水，瀝去多餘水分。,2
479621,加入撕開的蟹肉棒、芝麻油和白芝麻，拌勻即完成。,3
479621,做成日式冷便當也很適合～,4
479620,1. 米洗好、瀝水，放入內鍋,1
479620,2. 加入香菇絲、高麗菜絲、蒜末（香菇跟高麗菜吸水強，放多就要再多放一些水）,2
479620,3. 淋入醬油、米酒、香油，水跟香菇水,3
479620,4. 按下「煮飯模式」就可以了，起鍋拌一拌。,4
479607,將櫛瓜切成約1公分厚的薄片，方便快速烤熟櫛瓜片可以先用橄欖油、鹽等調味,1
479607,（因為烤箱沒法設置溫度，所以就是憑感覺控制時間 不管是鹽烤,2
479607,焗烤都先放入烤箱烤約3-5分鐘,3
479607,「鹽烤櫛瓜」 第一次烤完後，取出翻面，並撒上適量胡椒。 再放入烤箱烤約3-5分鐘,4
479607,「焗烤櫛瓜」 第一次烤完後，取出翻面，並撒上適量起司絲（如果想更有味道更撒上少量胡椒。 再放入烤箱烤約3-5分鐘,5
479607,「焗烤櫛瓜」 建議觀察起司的狀態，若起司上色不夠，可以再延長烤的時間。 如果想要吃起來更有起司的口感及香味，更再撒上起司絲，送入烤箱烤第三次一樣約3-5分鐘。,6
479607,完成啦！記得趁熱吃🔥,7
479602,洋蔥切絲以冰開水泡 (約泡20min),1
479602,將有機龍鬚菜切段(約4公分1段) 燙熟後擠水,2
479602,洋蔥絲、龍鬚菜擠水後加入芝麻醬即可上桌,3
479583,烤盤上放鋁箔紙，鮭魚清洗乾淨放在上面。（如果怕黏住，鋁箔紙表面可塗少許油）。,1
479583,蒜頭用刀子拍一下，撥開外皮切成蒜末備用。,2
479583,將蒜頭撒在鮭魚上面，淋上適量的香菇素蠔油。,3
479583,放入烤箱，烤20分鐘，等食材熟後完成。（鮭魚大小片時間不一樣，厚度大片要在加時間）,4
479581,●備料前洗米煮白飯，飯吃多少煮多少不要放電鍋保溫會生菌，當餐現煮的白飯用飯匙翻鬆。,1
479581,●龍鬚菜不需要農藥可以長的好，豐富的膳食纖維是腸道好朋友，洗凈剪小段瀝乾，今天用龍鬚菜扮演上海飯菜青江菜的角色。 ※要拌飯的蔬菜務必瀝乾水分才不會影響口感。,2
479581,●脆皮燒肉買現成的，放冷凍真空保鮮烹煮前一餐放冷藏低溫退冰。 ●蛋打散備用，可以加1小匙油，這樣炒蛋拌炒後香氣更好。 ●蒜瓣洗淨切掉蒂頭拍碎剝膜。,3
479581,●鍋小火，燒肉先不要切開用料理噴水瓶兩面噴水，蓋上鍋蓋一面煎2分鐘。,4
479581,●噴水煎脆皮燒肉能煎金黃也順逼油，用燒肉逼出油脂爆香蒜末，讓拌飯有台灣味，燒肉兩面金黃後先夾出盛盤，放涼後用熟食料理剪刀剪塊狀。,5
479581,●用煎香脆皮燒肉逼出的油脂，鍋小火不用再加油先把炒蛋炒香。,6
479581,●維持小火用炒蛋原鍋補剩下1小匙油把龍鬚菜丁放進鍋中，蓋上鍋蓋蒸炒2分鐘，打開鍋蓋翻炒一下龍鬚菜丁約九分熟。,7
479581,●把蒜末、剪塊的燒肉、炒香的蛋碎倒進龍鬚菜丁鍋中，維持小火拌炒1分鐘左右讓材料滋味融合，龍鬚菜丁有脆皮燒肉的鹹香滋味。,8
479581,●最後，再把炒香的肉菜蛋倒進電鍋內鍋翻拌，完成啦。,9
479580,奶油➕糖攪拌均勻，打到微發 蛋液（蛋跟鹽提前混合）分次下。攪拌均勻,1
479580,下低筋麵粉壓拌，拌勻就好。再加入紅椒粉，拌勻直到沒有粉,2
479580,裝進塑膠袋冷藏15分鐘以上,3
479580,冷藏後鋪上耐烤盤 第一次的溫度上火200下火180 先烤20-25分,4
479580,內餡步驟： 培根先炒出香味，煸到有點焦脆感 再來是洋蔥煸到透明、焦糖化馬鈴薯泥➕鹽巴加熱拌到綿密感，再加入培根、洋蔥拿出來開始用手拌團，分次加入一些乳酪絲、鮮奶油、奶油，黑胡椒粒、綜合香料 最後鋪上乳酪絲 二次回烤溫度 上火250下火100烤15分鐘,5
479580,切的時候要趁熱切，才不會內餡散光光,6
479576,先把材料備齊,1
479576,豬肝用流動的水洗個四五次，擦乾豬肝切成喜歡的厚度，放入碗當中，加入鹽巴和麵粉，用手多抓幾下會抓出不少血水，放到流動的水下面清洗乾淨，多清洗幾次，才不會有腥味，瀝乾水分，將豬肝浸泡在米酒中30-40分鐘，會發現豬肝出現許多血水，一樣要用流動的水洗乾淨，多洗幾次，然後再瀝乾豬肝備用,2
479576,起油鍋炒薑絲,3
479576,稍微聞到薑絲的味道之後，放入豬肝拌炒（豬肝不要直接倒進去，因為碗裡面一定有水分，那個水分不要，所以請用手抓或者是確實瀝乾水之後再倒進鍋子裡）,4
479576,炒豬肝至半熟，把紅莧菜倒進去⋯⋯拌炒一下，然後加一點點水，這個時候大概要用中火再大一點點，不需要到大火，然後迅速把豬肝炒熟，要不然豬肝炒太久的話會變硬,5
479576,只要豬肝的表面稍微輕輕壓一下，沒有在滲血出來就差不多快熟了，可以試吃一下然後趕快放鹽巴或者鮮味炒手挑一下味道，就可以起鍋囉！,6
479562,●日本進口的白蘿蔔3條100元，跟台灣的價格一樣，刷洗乾淨刨去外皮，切2公分左右方塊，切愈大塊燉煮時間需拉長。,1
479562,●老薑刷洗乾淨切片；蒜瓣洗過切掉蒂頭拍碎剝膜。 ●辣椒洗淨去籽剪斜片當盤飾用竟也忘了擺上(可省略)。 ●蔥洗淨用蔥白蔥綠交接剪細絲當盤飾用(可省略)。,2
479562,●鍋中小火加1.5小匙油，放薑片跟蒜瓣爆香。,3
479562,●聞到薑蒜香氣後把白蘿蔔塊倒進鍋中拌炒，再把蠔油跟水加進來，如果敢吃微辣可以撒1,4
479562,5小匙白胡椒粉(不在材料裡)，用炒匙翻拌讓每塊白蘿蔔塊都沾到紅燒醬汁。,5
479562,●小火，設定計時器20分鐘蓋鍋燉煮白蘿蔔，20分鐘到打開鍋蓋白蘿蔔已變透明代表已熟。,6
479562,●打開鍋蓋再煨煮5分鐘，讓紅燒醬汁收汁這樣白蘿蔔能更入味，熄火完成。,7
479561,1. 牛肉切塊去除筋，加1勺油、適量鹽、黑胡椒冰起來腌制15-20分鐘,1
479561,花椰菜、紅蘿蔔水煮掉菜味撈出,2
479561,花椰菜、紅蘿蔔塊、玉米切小段、小番茄倒一起，加1勺油、適量鹽、黑胡椒拌勻,3
479561,將蔬果先全放氣炸鍋刷油180度10分鐘,4
479561,再將牛排放入180度烤8分鐘即可,5
479560,牛肋條煎到恰恰，就可以取出備用,1
479560,鍋子不用洗，再倒入一點點油，再加入蕃茄、洋蔥、玉米筍，番茄軟化後，牛肋條就可以放進來囉 米酒、味醂、鹽巴、味精放入，蓋上鍋蓋，轉小火15分鐘完成✅,2
479559,青辣椒、紅辣椒、朝天椒洗淨，控乾水分備用,1
479559,所有辣椒切成圈圈，或是打碎備用,2
479559,加入薑末,3
479559,加入食鹽、砂糖、味精醃漬【辣椒醃漬後會出水，係屬正常現象】,4
479559,鍋中加入大料、桂皮、青花椒、清水煮開，然後調入生抽、老抽、陳醋、素蠔油,5
479559,再次煮開即可熄火,6
479559,放上一個密漏，料汁趁熱沖入辣椒中,7
479559,自然放涼，裝瓶冷藏備用,8
479557,雞蛋倒入白砂糖、牛奶，攪拌均勻過篩備用,1
479557,貝貝南瓜上方挖一個洞，將裡面的瓤挖乾淨，氣炸180度8分鐘,2
479557,南瓜氣炸後再倒入剛才過篩的蛋液,3
479557,180度氣炸25分鐘就可以了,4
479556,起鍋下油，煎蘿蔔糕,1
479556,煎至兩面金黃酥脆,2
479556,原鍋下蒜白炒香,3
479556,蘿蔔糕及蒜綠一同下鍋,4
479556,加入香菜拌炒的，即可調味起鍋,5
479554,將瓜瓜園冰烤地瓜退冰後剝皮，搗成泥狀,1
479554,準備馬芬紙杯，內層薄塗一層油防沾,2
479554,將所有食材（除了堅果）伴勻，倒進紙杯中,3
479554,電鍋外層加一碗水，放進蛋糕麵糊,4
479554,開關跳起後，撒上堅果就完成囉,5
479553,地瓜去皮切塊，泡水10分鐘備用。,1
479553,將地瓜用紙巾擦乾，600W微波3分鐘。,2
479553,趁熱加入A，盡量壓成均勻的巧克力地瓜泥。,3
479553,搓成8個球形。,4
479553,裹上防潮可可粉即完成。,5
479552,將地瓜蒸熟後壓成泥，皮的部分不用保留,1
479552,將蛋黃和配方奶均勻混合在地瓜泥中，並過篩倒入容器內,2
479552,用鋁箔紙把容器蓋住，放進電鍋蒸30分鐘就完成了,3
479551,將地瓜蒸熟後壓成泥，雞蛋煮成全熟的水煮蛋,1
479551,將小黃瓜、紅蘿蔔、洋蔥、水煮蛋都切成丁,2
479551,把洋蔥泡冷水去辛，小黃瓜丁及紅蘿蔔丁用熱水川燙至軟化,3
479551,將所有食材混合均勻並加入適量牛奶增加濕度與風味,4
479551,撒上適量黑胡椒調味後就完成！,5
479550,把小黃瓜、玉米筍煮熟後一起切碎,1
479550,再把冰烤地瓜去皮後，和切碎的蔬菜混合捏成球狀，就完成了！,2
479548,浸泡綠豆，建議至少2小時將綠豆泡軟，以利縮短烹煮時間,1
479548,將綠豆、芋見地瓜圓、水放入鍋中以中火熬煮 待水滾後轉小火繼續煮至綠豆軟爛,2
479548,依個人口味加入砂糖後攪至均勻 關火放入冰箱冷藏，大約1小時後就能享用啦！,3
479547,白米加水熬成軟粥，再將黃地瓜跟紫地瓜蒸熟壓成泥狀,1
479547,鯛魚片川燙加入薑片去腥,2
479547,用紫地瓜泥打底放下層、黃地瓜與粥混合放上層，再放上鯛魚片,3
479547,試一下味道，如果需要可以加一點點鹽與香油提味～,4
479533,將洋蔥與番茄切丁，蔥切成蔥花,1
479533,把洋蔥、番茄和滷肉飯醬放入鍋中 開小火炒至洋蔥、番茄軟化即可出鍋,2
479533,撒上蔥花就完成了！,3
479531,四季豆先滾水汆燙煮熟 注意:不能煮太軟，要保留脆脆的口感!,1
479531,牛肉用米酒抓醃去腥,2
479531,將牛肉放入炒鍋拌炒，稍微變色後再加入誠泰蔭油,3
479531,放入四季豆與牛肉一起拌炒均勻後就完成囉 (我沒另外加鹽巴，所以起鍋前可以先試味道，不夠鹹的話就再加入蔭油),4
479530,拌餡料：先把高麗菜稍微川燙再切碎，剝皮辣椒也要切碎，和豬絞肉、醬油、香油混合拌勻，讓所有味道融合在一起,1
479530,包餃子：取餃子皮，放適量餡料，喜歡什麼形狀就怎麼包,2
479530,煎餃子：熱油下鍋，放入餃子，用中小火煎到底部金黃，然後再加一點麵粉水蓋鍋蓋悶熟，最後開蓋再煎一下讓外皮更酥脆！,3
479528,A.南瓜去皮、去籽，切成小塊,1
479528,放上蒸盤，可以與米飯或粥一起蒸熟，節省能源,2
479528,蒸熟後趁熱搗成泥,3
479528,趁熱加入煉乳、砂糖，攪拌均勻，然後隔著冰水降溫,4
479528,B.麵粉加耐高糖酵母粉攪勻，分次加入南瓜泥，搓成絮狀,5
479528,加入食用油，開始把麵團聚攏，然後揉麵15分鐘,6
479528,放入盆中，室溫醒發60分鐘,7
479528,C.醒發至1~1.5倍打，取出輕輕搓揉排氣,8
479528,麵團總重1012g，分出36個劑子（每個重28g），搓圓備用,9
479528,取一個麵劑沾上手粉，擀成薄片,10
479528,D.將6張麵片疊起,11
479528,取筷子往中間壓線，然後將麵片捲起,12
479528,從壓線處切一刀，取其中一半稍微把花瓣整形,13
479528,兩朵玫瑰花就完成了，總共要做12朵,14
479528,E.放上蒸籠，二次醒發50分鐘,15
479528,醒發至明顯膨脹即可,16
479528,水開計時，大火蒸15分鐘，熄火再燜3分鐘,17
479518,準備好食材，我們來為炎炎夏日做最養生的飲料。,1
479518,薑洗淨，切薄片，放入調理機中。,2
479518,檸檬洗淨，切小丁，放入料理機中。,3
479518,蘋果洗淨切去蒂頭及果心，切小丁，放入料理機中。,4
479518,倒入冷開水。,5
479518,啟動果汁機攪打成泥，使用過濾布將食材的渣與汁液分離，我們需要的是這一碗蔬果汁。,6
479518,薑蔬果汁倒入杯中，一比一的比例到入小磨坊椰奶調整香氣。,7
479518,飲用前攪拌一下就可以喝啦！,8
479515,白蘿蔔刨絲,1
479515,下鍋放油白蘿蔔放入鍋中 拌炒 加鹽,2
479515,糖 1個量米杯的水 拌炒至蘿蔔 軟嫩,3
479515,淋上香菇素蠔油 即完成,4
479510,將地瓜連皮刷洗乾淨。,1
479510,水煮地瓜，煮到可以用竹籤刺穿的程度（也可以用蒸的）。,2
479510,將煮熟的地瓜切成兩半，挖出地瓜肉，地瓜皮留著當容器用。,3
479510,將③地瓜肉趁熱搗碎成泥，用篩網濾過可以讓它更細滑。,4
479510,在④中加入奶油、砂糖、鮮奶油和1個蛋黃，仔細攪拌均勻。,5
479510,將⑤填進③所挖空的地瓜皮中。,6
479510,抹上另一個蛋黃，增添光澤，再放進烤箱中烤熟。,7
479510,美味上桌！,8
479507,熱鍋燒油,1
479507,將蔥抓餅放入鍋中，煎至兩面金黃放至盤中備用,2
479507,下蛋，煎至半熟,3
479507,下入蔥抓餅，用鍋鏟壓平，煎至蛋熟後即可上桌。,4
479504,●仿土雞腿肉Q肥油少，請攤商幫切塊，烹煮前每塊洗過把內臟都去除，肥油的部分可以用料理剪刀先修掉，這樣煮起來的雞湯不會油也清爽。,1
479504,●用要燉雞湯的不銹鋼鍋加水煮滾，放雞腿塊汆燙至滾起打開鍋煮1分鐘，讓雞腿的肉末渣渣浮出，熄火戴上隔熱手套把湯鍋端到水槽每塊雞腿沖洗乾淨。,2
479504,●苦瓜刮掉內膜就不會苦，苦瓜洗乾淨對半剖開用湯匙刮除內膜棉絮這樣苦瓜就不會苦。,3
479504,●苦瓜切掉蒂頭，切塊可不用太小塊，燉煮後才有口感。 ●蔭鳳梨需放冷藏保鮮，用乾淨湯匙挖取放小碟備用。 ●台灣乾香菇洗過不用泡這樣可以保留香氣。 ●老薑刷洗乾淨切片，燉雞湯加點老薑片風味不錯。 ●剛好有買新鮮鳳梨，加幾塊雞湯很鮮甜也有鳳梨香。,4
479504,●今天用汆燙雞腿的不銹鋼炒鍋燉雞湯，汆燙洗乾淨的雞腿鍋加想要的水量把香菇、薑片、蔭鳳梨到鍋中 P.S.也可以用電鍋外鍋400cc水燉煮。,5
479504,●中火，蓋上鍋蓋設定計時器煮20分鐘。,6
479504,●20分鐘到打開鍋蓋雞腿已熟但還不夠爛，把苦瓜跟新鮮鳳梨加進鍋中，維持中火再次蓋上鍋蓋設定計時器煮10分鐘。,7
479504,●10分鐘又到，打開鍋蓋雞腿已燉爛，苦瓜也燉透明代表熟了，撒點白胡椒提鮮，完成。,8
479504,●蔭鳳梨有鹹味我沒在加鹽。,9
479504,●這湯頭好好喝。,10
479480,豬肋排放入滾水煮到雜質出來，用清水洗淨；馬鈴薯、紅蘿蔔削皮切成塊先用電鍋蒸熟。,1
479480,醬油一大匙+糖一中匙+三分之一罐的味增辣醬，加水淹過豬肋排，煮滾。,2
479480,將馬鈴薯及胡蘿蔔放進煮滾的豬肋排中攪拌均勻，放入電鍋蒸入味。,3
479480,盛盤後，撒上白芝麻及蔥花即可。,4
479476,食材隨喜❤️最重要的有白蘿蔔， 想加水煮蛋、紅蘿蔔也是可以的。 做法 1）白蘿蔔洗淨削皮，切厚片、中心劃十字 2）其餘食材洗淨備用 3）起一鍋水，水開放入白蘿蔔片、一小匙太白粉煮20分鐘去除澀味後撈起備用 4）所有食材放入內鍋 5）加入調味料，加水沒過食材 6）電鍋外鍋2杯水，開始烹煮,1
479476,7）完成✅可擺上蔥絲點綴,2
479469,絲瓜削皮洗淨、切塊,1
479469,薑、油、雞粉 下鍋爆香、放入絲瓜,2
479469,加一點點水 蓋鍋蓋燜煮一下 同時把蛋先在小碗打散,3
479469,散蛋下鍋 拌炒 最後下鹽調味,4
479468,切掉頭，洗淨水蓮後切成長段,1
479468,炒菜油爆香蒜頭，加入鹽巴，再加入水蓮，還有一小杯熱水，大火快炒，三分鐘就可以起鍋,2
479468,炒水蓮吃爽脆的口感，如果炒過頭，口感就不脆了,3
479463,將冬瓜挖去瓜囊、削去外皮，切小塊備用。,1
479463,使用料理機將冬瓜打成泥，這樣熬煮比較快速。將冬瓜泥倒入鍋中，我們要來進行加熱。,2
479463,加入黑糖，打開爐火進行加熱，記得要攪拌，減少巴鍋燒焦問題。,3
479463,慢慢熬煮到冬瓜露變稠就行。,4
479463,倒入蜂蜜以小火加熱，攪拌均勻即可。,5
479463,杯子加入冰塊，勺適當的量入杯中，添加冷開水攪拌均勻即可飲用。,6
479463,開喝！夏天喝自製的冷飲最安心。,7
479459,櫛瓜切片後再對半切、鹹豬肉及紅蘿蔔切薄片,1
479459,洋蔥切絲、蒜頭及辣椒還有青蔥切末、蒜苗切段,2
479459,起鍋下鹹豬肉轉中小火煸油,3
479459,再下洋蔥、蒜頭、辣椒、蒜苗爆香,4
479459,接著下紅蘿蔔及櫛瓜，加點水拌炒上蓋煮軟,5
479459,最後撒上蔥花稍微翻炒即可起鍋,6
479457,▪️火腿切絲、雪白菇剝好；青江菜切細絲、蒜瓣切碎,1
479457,▪️熱油鍋爆香蒜頭，加入雪白菇和火腿拌炒,2
479457,▪️火腿微上色後加入青江菜的根拌炒29-30秒，再加入葉子的部分，加入白胡椒粉和黑豆醬油調味,3
479457,完成☑️,4
479448,牛蕃茄 切片 其餘燙一燙 ～燙一燙～ 豆腐切小塊 （本身可以涼拌 直接食用） 食材都熟了後 加點鹽巴橄欖油 超級快速的啦～,1
479446,水煮蛋 冷水下蛋 下鹽巴（避免溫度太高爆蛋）,1
479446,紅蘿蔔🥕切丁 水煮 也是會加少許鹽巴,2
479446,蛋大約煮十分鐘跑冷水、去殼、切丁 （大小跟紅蘿蔔🥕差不多）,3
479446,紅蘿蔔跟蛋加一起 加低脂沙拉醬 拌勻 即可,4
479437,鹹蛋蛋黃跟蛋白分開都切成末，蒜頭切末，蔥切蔥花 ⚠️蒜頭跟鹹蛋蛋白記得切細一點,1
479437,苦瓜去籽去囊，切成小薄片 ⚠️苦瓜到囊一定要清乾淨，減少苦味,2
479437,加入15克的鹽巴抓醃10分鐘,3
479437,醃好浩的苦瓜用清水洗凈，洗到水成透明 ⚠️用鹽抓醃後再用清水沖洗可以降低苦瓜的苦味,4
479437,滾水下鍋川燙苦瓜，水滾後加入米酒5cc，煮約3分鐘至苦瓜成半透明,5
479437,燙好的苦瓜用冷水沖至降溫,6
479437,熱鍋下蒜末跟蔥末爆香,7
479437,加入鹹蛋黃，記得油多炒至起泡,8
479437,炒至冒泡後加入鹹蛋白，翻炒大約1分鐘,9
479437,加入苦瓜，拌炒3-4分鐘,10
479437,起鍋前倒入米酒（約5cc)，炒至米酒揮發（約2-3分鐘）,11
479437,就可以簡單上桌了,12
479428,▪️櫛瓜切段後中間劃一刀,1
479428,不要把櫛瓜切斷 ▪️中間塞入起司片 ▪️熱油鍋之後,2
479428,下鍋煎,3
479428,兩面煎上色,4
479428,起司會在中間融化,5
479428,就完成囉✅ ▪️最後可以淋上幾滴的黑豆醬油調味,6
479426,1.準備所有食材，清理與清洗之(秋葵可用一點鹽搓揉去除表面絨毛再清洗)。,1
479426,2.蒜頭切末，秋葵切去蒂頭，切1公分圓段，鹹鴨蛋去殼，取出蛋黃壓散(泥)，蛋白切細丁。,2
479426,3.起鍋，開小火，倒入1大匙的食用油，放入蒜末與鹹蛋白炒出香氣。,3
479426,4.轉中火，放入秋葵拌炒。,4
479426,5.約炒1.5-2分鐘，至秋葵轉透綠熟成(脆口無莢生)，即可先起鍋。,5
